param	value	sigma_m	sigma_p
planet_radius	1.1856975696062286	0.004994928362064499	0.0044669898237177375
T	1132.1596363556882	83.22383377285792	120.41831306726613
log_H2O	-2.6318350895717106	0.32483791639873827	0.32629726884960464
log_CO2	-5.906976277337031	2.725030301332663	1.9982743469902968
log_CO	-4.751236030834826	3.300319666690707	3.107177758260296
log_Na	-1.3299631883887377	0.42314947201128716	0.19397207766118307
log_K	-4.147749363714045	2.6105724204023097	1.1803796750819529
