param	value	sigma_m	sigma_p
planet_radius	1.3900017490948147	6.718866937638346e-05	5.1153969697903534e-05
T	1415.0454360244657	0.7569039632624026	0.7485615962477823
log_H2O	-3.1491404123949893	0.003796497196311144	0.0038704647456531127
log_CH4	-5.732679564746287	0.009441817187560986	0.011534114733771084
log_CO2	-4.6247669875854625	0.010615728760183352	0.008383188509140105
log_CO	-7.1797044412518405	1.4448205572599653	0.7014403482305429
